
Triangle,0,20
,20,0
Time,Sx,Sy,V,EdgeSx,EdgeSy,EdgeW,Ep,Ek,Ec
1.72,6.367,15.047,7.871,7.028, 15.797,7.871,147.609,30.979,178.588
1.73,6.423,14.991,7.913,7.141, 15.687,7.913,147.061,31.308,178.369
1.74,6.479,14.935,7.955,7.250, 15.572,7.955,146.511,31.638,178.149
1.75,6.536,14.878,7.996,7.355, 15.452,7.996,145.958,31.969,177.927
1.76,6.592,14.822,8.038,7.455, 15.328,8.038,145.402,32.302,177.704
1.77,6.649,14.765,8.079,7.550, 15.200,8.079,144.843,32.637,177.479
1.78,6.707,14.708,8.121,7.639, 15.068,8.121,144.281,32.972,177.253
1.79,6.764,14.650,8.162,7.723, 14.934,8.162,143.716,33.309,177.025
1.80,6.822,14.592,8.203,7.801, 14.797,8.203,143.149,33.648,176.796
1.81,6.880,14.534,8.245,7.873, 14.657,8.245,142.578,33.988,176.566
1.82,6.939,14.476,8.286,7.938, 14.517,8.286,142.005,34.329,176.334
1.83,6.997,14.417,8.327,7.997, 14.375,8.327,141.428,34.671,176.100
1.84,7.056,14.358,8.368,8.049, 14.233,8.368,140.849,35.015,175.865
1.85,7.116,14.298,8.410,8.094, 14.091,8.410,140.268,35.361,175.628
1.86,7.175,14.239,8.451,8.133, 13.949,8.451,139.683,35.707,175.390
1.87,7.235,14.179,8.492,8.165, 13.810,8.492,139.095,36.055,175.150
1.88,7.295,14.119,8.533,8.190, 13.672,8.533,138.505,36.405,174.909
1.89,7.356,14.058,8.574,8.209, 13.536,8.574,137.911,36.755,174.667
1.90,7.417,13.997,8.615,8.222, 13.404,8.615,137.315,37.107,174.422
1.91,7.478,13.936,8.656,8.229, 13.276,8.656,136.716,37.460,174.177
1.92,7.539,13.875,8.697,8.230, 13.152,8.697,136.114,37.815,173.929
1.93,7.601,13.813,8.737,8.226, 13.033,8.737,135.510,38.171,173.681
1.94,7.663,13.751,8.778,8.217, 12.919,8.778,134.902,38.528,173.430
1.95,7.725,13.689,8.819,8.204, 12.812,8.819,134.292,38.887,173.179
1.96,7.787,13.627,8.860,8.188, 12.710,8.860,133.679,39.247,172.925
1.97,7.850,13.564,8.900,8.168, 12.616,8.900,133.063,39.608,172.670
1.98,7.913,13.501,8.941,8.145, 12.528,8.941,132.444,39.970,172.414
1.99,7.977,13.438,8.982,8.120, 12.448,8.982,131.822,40.334,172.156
2.00,8.040,13.374,9.022,8.094, 12.375,9.022,131.198,40.699,171.897
2.01,8.104,13.310,9.063,8.068, 12.311,9.063,130.571,41.065,171.636
2.02,8.168,13.246,9.103,8.042, 12.254,9.103,129.941,41.433,171.373
2.03,8.233,13.181,9.143,8.016, 12.205,9.143,129.308,41.801,171.109
2.04,8.298,13.116,9.184,7.993, 12.164,9.184,128.672,42.172,170.844
2.05,8.363,13.051,9.224,7.972, 12.131,9.224,128.034,42.543,170.576
2.06,8.428,12.986,9.264,7.954, 12.106,9.264,127.392,42.915,170.308
2.07,8.494,12.920,9.305,7.940, 12.088,9.305,126.748,43.289,170.038
2.08,8.560,12.854,9.345,7.931, 12.077,9.345,126.101,43.664,169.766
2.09,8.626,12.788,9.385,7.927, 12.073,9.385,125.452,44.041,169.492
2.10,8.693,12.722,9.425,7.929, 12.076,9.425,124.799,44.418,169.218
2.11,8.759,12.655,9.465,7.939, 12.084,9.465,124.144,44.797,168.941
2.12,8.826,12.588,9.505,7.955, 12.097,9.505,123.486,45.177,168.663
2.13,8.894,12.520,9.545,7.980, 12.115,9.545,122.825,45.558,168.384
2.14,8.961,12.453,9.585,8.013, 12.136,9.585,122.162,45.941,168.103
2.15,9.029,12.385,9.625,8.055, 12.161,9.625,121.496,46.324,167.820
2.16,9.098,12.317,9.665,8.106, 12.187,9.665,120.827,46.709,167.536
2.17,9.166,12.248,9.705,8.167, 12.215,9.705,120.155,47.095,167.250
2.18,9.235,12.179,9.745,8.237, 12.244,9.745,119.480,47.483,166.963
2.19,9.304,12.110,9.785,8.317, 12.272,9.785,118.803,47.871,166.674
2.20,9.373,12.041,9.825,8.407, 12.298,9.825,118.123,48.261,166.383
2.21,9.443,11.971,9.864,8.506, 12.322,9.864,117.440,48.652,166.091
2.22,9.513,11.902,9.904,8.615, 12.343,9.904,116.754,49.044,165.798
2.23,9.583,11.831,9.944,8.734, 12.360,9.944,116.066,49.437,165.503
2.24,9.653,11.761,9.983,8.861, 12.371,9.983,115.375,49.831,165.206
2.25,9.724,11.690,10.023,8.997, 12.376,10.023,114.681,50.227,164.908
2.26,9.795,11.619,10.062,9.140, 12.375,10.062,113.984,50.624,164.608
2.27,9.866,11.548,10.102,9.291, 12.366,10.102,113.285,51.021,164.306
2.28,9.938,11.476,10.141,9.448, 12.348,10.141,112.583,51.421,164.003
2.29,10.010,11.404,10.180,9.611, 12.321,10.180,111.878,51.821,163.699
2.30,10.082,11.332,10.220,9.778, 12.285,10.220,111.170,52.222,163.392
2.31,10.154,11.260,10.259,9.950, 12.239,10.259,110.460,52.625,163.085
2.32,10.227,11.187,10.298,10.124, 12.182,10.298,109.747,53.028,162.775
2.33,10.300,11.114,10.338,10.300, 12.114,10.338,109.031,53.433,162.464
2.34,10.373,11.041,10.377,10.476, 12.036,10.377,108.313,53.839,162.152
2.35,10.447,10.968,10.416,10.653, 11.946,10.416,107.592,54.246,161.838
2.36,10.520,10.894,10.455,10.827, 11.846,10.455,106.868,54.654,161.522
2.37,10.595,10.820,10.494,10.999, 11.734,10.494,106.141,55.063,161.205
2.38,10.669,10.745,10.533,11.167, 11.612,10.533,105.412,55.474,160.886
2.39,10.743,10.671,10.572,11.330, 11.480,10.572,104.680,55.885,160.565
2.40,10.818,10.596,10.611,11.488, 11.339,10.611,103.945,56.298,160.243
2.41,10.894,10.521,10.650,11.638, 11.189,10.650,103.208,56.712,159.919
2.42,10.969,10.445,10.689,11.780, 11.030,10.689,102.468,57.126,159.594
2.43,11.045,10.369,10.728,11.914, 10.864,10.728,101.725,57.542,159.267
2.44,11.121,10.294,10.767,12.038, 10.692,10.767,100.979,57.959,158.939
2.45,11.197,10.217,10.805,12.152, 10.515,10.805,100.231,58.377,158.608
2.46,11.274,10.141,10.844,12.255, 10.333,10.844,99.480,58.797,158.277
2.47,11.350,10.064,10.883,12.347, 10.149,10.883,98.727,59.217,157.943
2.48,11.427,9.987,10.921,12.427, 9.963,10.921,97.970,59.638,157.609
2.49,11.505,9.909,10.960,12.496, 9.777,10.960,97.211,60.061,157.272
2.50,11.582,9.832,10.999,12.553, 9.591,10.999,96.450,60.484,156.934
2.51,11.660,9.754,11.037,12.599, 9.408,11.037,95.686,60.908,156.594
2.52,11.739,9.676,11.076,12.633, 9.229,11.076,94.919,61.334,156.253
2.53,11.817,9.597,11.114,12.656, 9.054,11.114,94.149,61.761,155.910
2.54,11.896,9.519,11.152,12.670, 8.885,11.152,93.377,62.188,155.565
2.55,11.975,9.440,11.191,12.673, 8.724,11.191,92.602,62.617,155.219
2.56,12.054,9.360,11.229,12.668, 8.571,11.229,91.824,63.047,154.871
2.57,12.133,9.281,11.267,12.655, 8.427,11.267,91.044,63.478,154.522
2.58,12.213,9.201,11.306,12.635, 8.294,11.306,90.261,63.910,154.171
2.59,12.293,9.121,11.344,12.610, 8.172,11.344,89.475,64.342,153.818
2.60,12.374,9.040,11.382,12.581, 8.062,11.382,88.687,64.776,153.464
2.61,12.454,8.960,11.420,12.549, 7.964,11.420,87.896,65.211,153.108
2.62,12.535,8.879,11.458,12.516, 7.879,11.458,87.103,65.647,152.750
2.63,12.616,8.798,11.496,12.482, 7.807,11.496,86.307,66.084,152.391
2.64,12.698,8.716,11.534,12.451, 7.747,11.534,85.508,66.522,152.030
2.65,12.780,8.635,11.572,12.423, 7.701,11.572,84.706,66.961,151.667
2.66,12.861,8.553,11.610,12.399, 7.666,11.610,83.902,67.401,151.303
2.67,12.944,8.471,11.648,12.381, 7.644,11.648,83.096,67.842,150.938
2.68,13.026,8.388,11.686,12.371, 7.632,11.686,82.286,68.284,150.570
2.69,13.109,8.305,11.724,12.370, 7.631,11.724,81.474,68.727,150.201
2.70,13.192,8.222,11.762,12.380, 7.639,11.762,80.660,69.171,149.831
2.71,13.275,8.139,11.800,12.400, 7.655,11.800,79.843,69.616,149.458
2.72,13.359,8.055,11.837,12.433, 7.678,11.837,79.023,70.062,149.084
2.73,13.443,7.972,11.875,12.478, 7.707,11.875,78.200,70.509,148.709
2.74,13.527,7.887,11.913,12.538, 7.739,11.913,77.375,70.956,148.332
2.75,13.611,7.803,11.950,12.612, 7.773,11.950,76.548,71.405,147.953
2.76,13.696,7.718,11.988,12.700, 7.808,11.988,75.717,71.855,147.572
2.77,13.781,7.633,12.025,12.803, 7.842,12.025,74.885,72.306,147.190
2.78,13.866,7.548,12.063,12.920, 7.873,12.063,74.049,72.757,146.807
2.79,13.951,7.463,12.100,13.051, 7.899,12.100,73.211,73.210,146.421
2.80,14.037,7.377,12.138,13.196, 7.919,12.138,72.370,73.664,146.034
2.81,14.123,7.291,12.175,13.354, 7.931,12.175,71.527,74.118,145.645
2.82,14.209,7.205,12.213,13.524, 7.933,12.213,70.681,74.574,145.255
2.83,14.296,7.119,12.250,13.705, 7.925,12.250,69.833,75.030,144.863
2.84,14.382,7.032,12.287,13.894, 7.905,12.287,68.982,75.488,144.469
2.85,14.469,6.945,12.324,14.092, 7.871,12.324,68.128,75.946,144.074
2.86,14.557,6.857,12.362,14.297, 7.823,12.362,67.272,76.405,143.677
2.87,14.644,6.770,12.399,14.505, 7.760,12.399,66.413,76.865,143.278
2.88,14.732,6.682,12.436,14.717, 7.682,12.436,65.552,77.326,142.878
2.89,14.820,6.594,12.473,14.929, 7.588,12.473,64.688,77.788,142.476
2.90,14.908,6.506,12.510,15.141, 7.478,12.510,63.821,78.251,142.072
2.91,14.997,6.417,12.547,15.349, 7.353,12.547,62.952,78.715,141.667
2.92,15.086,6.328,12.584,15.552, 7.213,12.584,62.081,79.180,141.260
2.93,15.175,6.239,12.621,15.749, 7.058,12.621,61.206,79.645,140.852
2.94,15.264,6.150,12.658,15.937, 6.890,12.658,60.330,80.112,140.441
2.95,15.354,6.060,12.695,16.115, 6.709,12.695,59.450,80.579,140.029
2.96,15.444,5.970,12.732,16.281, 6.518,12.732,58.568,81.047,139.616
2.97,15.534,5.880,12.768,16.434, 6.317,12.768,57.684,81.517,139.201
2.98,15.625,5.790,12.805,16.572, 6.108,12.805,56.797,81.987,138.784
2.99,15.715,5.699,12.842,16.696, 5.894,12.842,55.908,82.458,138.365
3.00,15.806,5.608,12.879,16.804, 5.675,12.879,55.015,82.929,137.945
3.01,15.897,5.517,12.915,16.895, 5.455,12.915,54.121,83.402,137.523
3.02,15.989,5.425,12.952,16.971, 5.235,12.952,53.224,83.876,137.099
3.03,16.080,5.334,12.988,17.029, 5.018,12.988,52.324,84.350,136.674
3.04,16.172,5.242,13.025,17.072, 4.806,13.025,51.422,84.825,136.247
3.05,16.265,5.150,13.062,17.100, 4.600,13.062,50.517,85.302,135.818
3.06,16.357,5.057,13.098,17.114, 4.404,13.098,49.610,85.779,135.388
3.07,16.450,4.964,13.134,17.115, 4.217,13.134,48.700,86.256,134.956
3.08,16.543,4.871,13.171,17.104, 4.044,13.171,47.787,86.735,134.522
3.09,16.636,4.778,13.207,17.084, 3.884,13.207,46.873,87.215,134.087
3.10,16.730,4.685,13.243,17.055, 3.739,13.243,45.955,87.695,133.650
3.11,16.823,4.591,13.280,17.021, 3.611,13.280,45.035,88.176,133.211
3.12,16.917,4.497,13.316,16.984, 3.499,13.316,44.113,88.658,132.771
3.13,17.012,4.402,13.352,16.945, 3.405,13.352,43.188,89.141,132.329
3.14,17.106,4.308,13.388,16.907, 3.328,13.388,42.260,89.625,131.885
3.15,17.201,4.213,13.425,16.872, 3.269,13.425,41.330,90.109,131.440
3.16,17.296,4.118,13.461,16.844, 3.226,13.461,40.398,90.595,130.993
3.17,17.391,4.023,13.497,16.823, 3.200,13.497,39.463,91.081,130.544
3.18,17.487,3.927,13.533,16.813, 3.188,13.533,38.525,91.568,130.093
3.19,17.583,3.831,13.569,16.815, 3.190,13.569,37.585,92.056,129.641
3.20,17.679,3.735,13.605,16.832, 3.204,13.605,36.643,92.544,129.187
3.21,17.775,3.639,13.641,16.864, 3.228,13.641,35.698,93.034,128.732
3.22,17.872,3.542,13.677,16.913, 3.259,13.677,34.751,93.524,128.274
3.23,17.969,3.446,13.712,16.980, 3.296,13.712,33.801,94.015,127.815
3.24,18.066,3.348,13.748,17.066, 3.335,13.748,32.848,94.507,127.355
3.25,18.163,3.251,13.784,17.171, 3.375,13.784,31.893,94.999,126.892
3.26,18.261,3.154,13.820,17.295, 3.413,13.820,30.936,95.493,126.428
3.27,18.359,3.056,13.855,17.438, 3.446,13.855,29.976,95.987,125.963
3.28,18.457,2.958,13.891,17.599, 3.471,13.891,29.014,96.482,125.495
3.29,18.555,2.859,13.927,17.777, 3.487,13.927,28.049,96.977,125.026
3.30,18.654,2.761,13.962,17.970, 3.491,13.962,27.082,97.474,124.555
3.31,18.752,2.662,13.998,18.177, 3.480,13.998,26.112,97.971,124.083
3.32,18.852,2.563,14.033,18.396, 3.453,14.033,25.140,98.469,123.609
3.33,18.951,2.463,14.069,18.625, 3.409,14.069,24.165,98.968,123.133
3.34,19.051,2.364,14.104,18.860, 3.345,14.104,23.188,99.467,122.655
