,,,,,,,,m,L,G,K,dT,T,,,,,,,,,,,,
Time,Alpha,Sx,Sy,Ep,Ek,Ec,,2kg,1m,-9.81,0.1,0.01s,4s,,,,,,,,,,,,
0.4,0.266,0.262,-0.965,0.688,4.975,5.662,,,,,,,,,,,,,,,,,,,
0.41,0.243,0.241,-0.971,0.577,5.081,5.657,,,,,,,,,,,,,,,,,,,
0.42,0.22,0.219,-0.976,0.475,5.178,5.652,,,,,,,,,,,,,,,,,,,
0.43,0.198,0.196,-0.981,0.382,5.265,5.647,,,,,,,,,,,,,,,,,,,
0.44,0.175,0.174,-0.985,0.298,5.344,5.642,,,,,,,,,,,,,,,,,,,
0.45,0.151,0.151,-0.989,0.224,5.412,5.636,,,,,,,,,,,,,,,,,,,
0.46,0.128,0.128,-0.992,0.161,5.47,5.631,,,,,,,,,,,,,,,,,,,
0.47,0.105,0.104,-0.995,0.107,5.518,5.625,,,,,,,,,,,,,,,,,,,
0.48,0.081,0.081,-0.997,0.064,5.556,5.62,,,,,,,,,,,,,,,,,,,
0.49,0.057,0.057,-0.998,0.032,5.582,5.614,,,,,,,,,,,,,,,,,,,
0.5,0.034,0.034,-0.999,0.011,5.598,5.609,,,,,,,,,,,,,,,,,,,
0.51,0.01,0.01,-1,0.001,5.602,5.603,,,,,,,,,,,,,,,,,,,
0.52,-0.014,-0.014,-1,0.002,5.596,5.598,,,,,,,,,,,,,,,,,,,
0.53,-0.037,-0.037,-0.999,0.014,5.578,5.592,,,,,,,,,,,,,,,,,,,
0.54,-0.061,-0.061,-0.998,0.036,5.55,5.586,,,,,,,,,,,,,,,,,,,
0.55,-0.084,-0.084,-0.996,0.07,5.511,5.581,,,,,,,,,,,,,,,,,,,
0.56,-0.108,-0.107,-0.994,0.114,5.462,5.575,,,,,,,,,,,,,,,,,,,
0.57,-0.131,-0.131,-0.991,0.168,5.402,5.57,,,,,,,,,,,,,,,,,,,
0.58,-0.154,-0.154,-0.988,0.233,5.332,5.565,,,,,,,,,,,,,,,,,,,
0.59,-0.177,-0.176,-0.984,0.307,5.252,5.559,,,,,,,,,,,,,,,,,,,
0.6,-0.2,-0.199,-0.98,0.391,5.163,5.554,,,,,,,,,,,,,,,,,,,
0.61,-0.223,-0.221,-0.975,0.484,5.065,5.549,,,,,,,,,,,,,,,,,,,
0.62,-0.245,-0.243,-0.97,0.586,4.958,5.544,,,,,,,,,,,,,,,,,,,
0.63,-0.267,-0.264,-0.965,0.696,4.843,5.539,,,,,,,,,,,,,,,,,,,
0.64,-0.289,-0.285,-0.959,0.814,4.721,5.534,,,,,,,,,,,,,,,,,,,
0.65,-0.311,-0.306,-0.952,0.939,4.591,5.53,,,,,,,,,,,,,,,,,,,
0.66,-0.332,-0.326,-0.945,1.07,4.455,5.525,,,,,,,,,,,,,,,,,,,
0.67,-0.353,-0.346,-0.938,1.208,4.312,5.521,,,,,,,,,,,,,,,,,,,
0.68,-0.373,-0.365,-0.931,1.352,4.165,5.517,,,,,,,,,,,,,,,,,,,
0.69,-0.394,-0.384,-0.924,1.5,4.012,5.512,,,,,,,,,,,,,,,,,,,
0.7,-0.413,-0.402,-0.916,1.653,3.855,5.508,,,,,,,,,,,,,,,,,,,
0.71,-0.433,-0.419,-0.908,1.81,3.695,5.505,,,,,,,,,,,,,,,,,,,
0.72,-0.452,-0.437,-0.9,1.969,3.532,5.501,,,,,,,,,,,,,,,,,,,
0.73,-0.47,-0.453,-0.891,2.131,3.366,5.498,,,,,,,,,,,,,,,,,,,
0.74,-0.489,-0.469,-0.883,2.295,3.199,5.494,,,,,,,,,,,,,,,,,,,
0.75,-0.506,-0.485,-0.875,2.461,3.031,5.491,,,,,,,,,,,,,,,,,,,
0.76,-0.523,-0.5,-0.866,2.626,2.862,5.488,,,,,,,,,,,,,,,,,,,
0.77,-0.54,-0.514,-0.858,2.792,2.693,5.486,,,,,,,,,,,,,,,,,,,
0.78,-0.556,-0.528,-0.849,2.957,2.526,5.483,,,,,,,,,,,,,,,,,,,
0.79,-0.572,-0.541,-0.841,3.121,2.359,5.48,,,,,,,,,,,,,,,,,,,
0.8,-0.587,-0.554,-0.833,3.283,2.195,5.478,,,,,,,,,,,,,,,,,,,
0.81,-0.601,-0.566,-0.825,3.443,2.033,5.476,,,,,,,,,,,,,,,,,,,
0.82,-0.615,-0.577,-0.817,3.6,1.874,5.474,,,,,,,,,,,,,,,,,,,
0.83,-0.629,-0.588,-0.809,3.753,1.719,5.472,,,,,,,,,,,,,,,,,,,
0.84,-0.642,-0.599,-0.801,3.902,1.568,5.471,,,,,,,,,,,,,,,,,,,
0.85,-0.654,-0.608,-0.794,4.047,1.422,5.469,,,,,,,,,,,,,,,,,,,
0.86,-0.665,-0.617,-0.787,4.187,1.281,5.468,,,,,,,,,,,,,,,,,,,
0.87,-0.677,-0.626,-0.78,4.321,1.146,5.467,,,,,,,,,,,,,,,,,,,
0.88,-0.687,-0.634,-0.773,4.449,1.016,5.466,,,,,,,,,,,,,,,,,,,
0.89,-0.697,-0.642,-0.767,4.572,0.893,5.465,,,,,,,,,,,,,,,,,,,
0.9,-0.706,-0.649,-0.761,4.687,0.776,5.464,,,,,,,,,,,,,,,,,,,
0.91,-0.714,-0.655,-0.756,4.796,0.667,5.463,,,,,,,,,,,,,,,,,,,
0.92,-0.722,-0.661,-0.75,4.897,0.565,5.462,,,,,,,,,,,,,,,,,,,
0.93,-0.729,-0.666,-0.746,4.991,0.471,5.462,,,,,,,,,,,,,,,,,,,
0.94,-0.736,-0.671,-0.741,5.077,0.385,5.461,,,,,,,,,,,,,,,,,,,
0.95,-0.742,-0.676,-0.737,5.154,0.307,5.461,,,,,,,,,,,,,,,,,,,
0.96,-0.747,-0.679,-0.734,5.223,0.238,5.461,,,,,,,,,,,,,,,,,,,
0.97,-0.751,-0.683,-0.731,5.284,0.177,5.461,,,,,,,,,,,,,,,,,,,
0.98,-0.755,-0.686,-0.728,5.336,0.125,5.461,,,,,,,,,,,,,,,,,,,
0.99,-0.759,-0.688,-0.726,5.379,0.081,5.46,,,,,,,,,,,,,,,,,,,
1,-0.761,-0.69,-0.724,5.413,0.047,5.46,,,,,,,,,,,,,,,,,,,
1.01,-0.763,-0.691,-0.723,5.438,0.022,5.46,,,,,,,,,,,,,,,,,,,
1.02,-0.764,-0.692,-0.722,5.454,0.007,5.46,,,,,,,,,,,,,,,,,,,
1.03,-0.765,-0.692,-0.722,5.46,0,5.46,,,,,,,,,,,,,,,,,,,
1.04,-0.764,-0.692,-0.722,5.457,0.003,5.46,,,,,,,,,,,,,,,,,,,
1.05,-0.763,-0.691,-0.722,5.446,0.015,5.46,,,,,,,,,,,,,,,,,,,
1.06,-0.762,-0.69,-0.724,5.424,0.036,5.46,,,,,,,,,,,,,,,,,,,
1.07,-0.76,-0.689,-0.725,5.394,0.066,5.46,,,,,,,,,,,,,,,,,,,
1.08,-0.757,-0.687,-0.727,5.355,0.105,5.46,,,,,,,,,,,,,,,,,,,
1.09,-0.753,-0.684,-0.73,5.307,0.153,5.46,,,,,,,,,,,,,,,,,,,
1.1,-0.749,-0.681,-0.732,5.25,0.21,5.46,,,,,,,,,,,,,,,,,,,
1.11,-0.744,-0.677,-0.736,5.185,0.275,5.46,,,,,,,,,,,,,,,,,,,
1.12,-0.738,-0.673,-0.74,5.111,0.348,5.459,,,,,,,,,,,,,,,,,,,
1.13,-0.732,-0.669,-0.744,5.029,0.43,5.459,,,,,,,,,,,,,,,,,,,
1.14,-0.725,-0.663,-0.748,4.939,0.519,5.458,,,,,,,,,,,,,,,,,,,
1.15,-0.718,-0.658,-0.753,4.841,0.616,5.458,,,,,,,,,,,,,,,,,,,
1.16,-0.71,-0.652,-0.759,4.736,0.721,5.457,,,,,,,,,,,,,,,,,,,
1.17,-0.701,-0.645,-0.764,4.624,0.832,5.456,,,,,,,,,,,,,,,,,,,
1.18,-0.691,-0.638,-0.77,4.506,0.95,5.455,,,,,,,,,,,,,,,,,,,
1.19,-0.681,-0.63,-0.777,4.381,1.074,5.454,,,,,,,,,,,,,,,,,,,
1.2,-0.671,-0.622,-0.783,4.25,1.204,5.453,,,,,,,,,,,,,,,,,,,
1.21,-0.659,-0.613,-0.79,4.113,1.339,5.452,,,,,,,,,,,,,,,,,,,
1.22,-0.648,-0.603,-0.798,3.972,1.479,5.451,,,,,,,,,,,,,,,,,,,
1.23,-0.635,-0.593,-0.805,3.826,1.624,5.449,,,,,,,,,,,,,,,,,,,
1.24,-0.622,-0.583,-0.813,3.675,1.772,5.447,,,,,,,,,,,,,,,,,,,
1.25,-0.608,-0.572,-0.821,3.521,1.924,5.446,,,,,,,,,,,,,,,,,,,
1.26,-0.594,-0.56,-0.829,3.364,2.079,5.444,,,,,,,,,,,,,,,,,,,
1.27,-0.58,-0.548,-0.837,3.205,2.237,5.441,,,,,,,,,,,,,,,,,,,
1.28,-0.564,-0.535,-0.845,3.043,2.396,5.439,,,,,,,,,,,,,,,,,,,
1.29,-0.549,-0.522,-0.853,2.88,2.557,5.437,,,,,,,,,,,,,,,,,,,
1.3,-0.532,-0.508,-0.862,2.716,2.718,5.434,,,,,,,,,,,,,,,,,,,
1.31,-0.516,-0.493,-0.87,2.552,2.879,5.431,,,,,,,,,,,,,,,,,,,
1.32,-0.499,-0.478,-0.878,2.388,3.04,5.428,,,,,,,,,,,,,,,,,,,
1.33,-0.481,-0.463,-0.887,2.225,3.2,5.425,,,,,,,,,,,,,,,,,,,
1.34,-0.463,-0.446,-0.895,2.063,3.358,5.422,,,,,,,,,,,,,,,,,,,
1.35,-0.444,-0.43,-0.903,1.904,3.514,5.418,,,,,,,,,,,,,,,,,,,
1.36,-0.425,-0.413,-0.911,1.747,3.667,5.415,,,,,,,,,,,,,,,,,,,
1.37,-0.406,-0.395,-0.919,1.594,3.817,5.411,,,,,,,,,,,,,,,,,,,
1.38,-0.386,-0.377,-0.926,1.445,3.962,5.407,,,,,,,,,,,,,,,,,,,
1.39,-0.366,-0.358,-0.934,1.3,4.103,5.403,,,,,,,,,,,,,,,,,,,
1.4,-0.346,-0.339,-0.941,1.161,4.238,5.399,,,,,,,,,,,,,,,,,,,
1.41,-0.325,-0.319,-0.948,1.027,4.368,5.395,,,,,,,,,,,,,,,,,,,
1.42,-0.304,-0.299,-0.954,0.899,4.491,5.39,,,,,,,,,,,,,,,,,,,
1.43,-0.283,-0.279,-0.96,0.778,4.608,5.386,,,,,,,,,,,,,,,,,,,
1.44,-0.261,-0.258,-0.966,0.664,4.717,5.381,,,,,,,,,,,,,,,,,,,
1.45,-0.239,-0.237,-0.972,0.558,4.818,5.376,,,,,,,,,,,,,,,,,,,
1.46,-0.217,-0.215,-0.977,0.46,4.911,5.371,,,,,,,,,,,,,,,,,,,
1.47,-0.195,-0.194,-0.981,0.371,4.995,5.366,,,,,,,,,,,,,,,,,,,
1.48,-0.172,-0.172,-0.985,0.291,5.071,5.361,,,,,,,,,,,,,,,,,,,
1.49,-0.15,-0.149,-0.989,0.22,5.137,5.356,,,,,,,,,,,,,,,,,,,
1.5,-0.127,-0.127,-0.992,0.158,5.193,5.351,,,,,,,,,,,,,,,,,,,
1.51,-0.104,-0.104,-0.995,0.106,5.239,5.346,,,,,,,,,,,,,,,,,,,
1.52,-0.081,-0.081,-0.997,0.065,5.276,5.341,,,,,,,,,,,,,,,,,,,
1.53,-0.058,-0.058,-0.998,0.033,5.302,5.335,,,,,,,,,,,,,,,,,,,
1.54,-0.035,-0.035,-0.999,0.012,5.318,5.33,,,,,,,,,,,,,,,,,,,
1.55,-0.012,-0.012,-1,0.001,5.323,5.325,,,,,,,,,,,,,,,,,,,
1.56,0.011,0.011,-1,0.001,5.318,5.319,,,,,,,,,,,,,,,,,,,
1.57,0.034,0.034,-0.999,0.011,5.303,5.314,,,,,,,,,,,,,,,,,,,
1.58,0.057,0.057,-0.998,0.032,5.277,5.309,,,,,,,,,,,,,,,,,,,
1.59,0.08,0.08,-0.997,0.063,5.241,5.304,,,,,,,,,,,,,,,,,,,
1.6,0.103,0.103,-0.995,0.103,5.195,5.298,,,,,,,,,,,,,,,,,,,
1.61,0.125,0.125,-0.992,0.154,5.139,5.293,,,,,,,,,,,,,,,,,,,
1.62,0.148,0.148,-0.989,0.215,5.073,5.288,,,,,,,,,,,,,,,,,,,
1.63,0.171,0.17,-0.985,0.284,4.999,5.283,,,,,,,,,,,,,,,,,,,
1.64,0.193,0.192,-0.981,0.363,4.915,5.278,,,,,,,,,,,,,,,,,,,
1.65,0.215,0.213,-0.977,0.451,4.822,5.273,,,,,,,,,,,,,,,,,,,
1.66,0.237,0.234,-0.972,0.547,4.721,5.268,,,,,,,,,,,,,,,,,,,
1.67,0.258,0.255,-0.967,0.651,4.613,5.264,,,,,,,,,,,,,,,,,,,
1.68,0.28,0.276,-0.961,0.762,4.497,5.259,,,,,,,,,,,,,,,,,,,
1.69,0.301,0.296,-0.955,0.88,4.374,5.255,,,,,,,,,,,,,,,,,,,
1.7,0.321,0.316,-0.949,1.005,4.245,5.25,,,,,,,,,,,,,,,,,,,
1.71,0.342,0.335,-0.942,1.136,4.111,5.246,,,,,,,,,,,,,,,,,,,
1.72,0.362,0.354,-0.935,1.272,3.971,5.242,,,,,,,,,,,,,,,,,,,
1.73,0.382,0.373,-0.928,1.412,3.826,5.238,,,,,,,,,,,,,,,,,,,
1.74,0.401,0.39,-0.921,1.557,3.677,5.235,,,,,,,,,,,,,,,,,,,
1.75,0.42,0.408,-0.913,1.706,3.525,5.231,,,,,,,,,,,,,,,,,,,
1.76,0.439,0.425,-0.905,1.858,3.37,5.228,,,,,,,,,,,,,,,,,,,
1.77,0.457,0.441,-0.897,2.012,3.213,5.224,,,,,,,,,,,,,,,,,,,
1.78,0.474,0.457,-0.89,2.168,3.054,5.221,,,,,,,,,,,,,,,,,,,
1.79,0.492,0.472,-0.882,2.325,2.893,5.218,,,,,,,,,,,,,,,,,,,
1.8,0.509,0.487,-0.873,2.483,2.733,5.215,,,,,,,,,,,,,,,,,,,
1.81,0.525,0.501,-0.865,2.64,2.572,5.213,,,,,,,,,,,,,,,,,,,
1.82,0.541,0.515,-0.857,2.798,2.413,5.21,,,,,,,,,,,,,,,,,,,
1.83,0.556,0.528,-0.849,2.954,2.254,5.208,,,,,,,,,,,,,,,,,,,
1.84,0.571,0.54,-0.842,3.108,2.097,5.206,,,,,,,,,,,,,,,,,,,
1.85,0.585,0.552,-0.834,3.261,1.943,5.204,,,,,,,,,,,,,,,,,,,
1.86,0.598,0.563,-0.826,3.41,1.792,5.202,,,,,,,,,,,,,,,,,,,
1.87,0.612,0.574,-0.819,3.556,1.644,5.2,,,,,,,,,,,,,,,,,,,
1.88,0.624,0.584,-0.811,3.699,1.5,5.198,,,,,,,,,,,,,,,,,,,
1.89,0.636,0.594,-0.804,3.837,1.36,5.197,,,,,,,,,,,,,,,,,,,
1.9,0.647,0.603,-0.798,3.97,1.225,5.196,,,,,,,,,,,,,,,,,,,
1.91,0.658,0.612,-0.791,4.099,1.096,5.195,,,,,,,,,,,,,,,,,,,
1.92,0.668,0.62,-0.785,4.222,0.972,5.194,,,,,,,,,,,,,,,,,,,
1.93,0.678,0.627,-0.779,4.338,0.854,5.193,,,,,,,,,,,,,,,,,,,
1.94,0.687,0.634,-0.773,4.449,0.743,5.192,,,,,,,,,,,,,,,,,,,
1.95,0.695,0.641,-0.768,4.553,0.638,5.191,,,,,,,,,,,,,,,,,,,
1.96,0.703,0.646,-0.763,4.65,0.541,5.191,,,,,,,,,,,,,,,,,,,
1.97,0.71,0.652,-0.758,4.739,0.451,5.19,,,,,,,,,,,,,,,,,,,
1.98,0.716,0.657,-0.754,4.821,0.368,5.19,,,,,,,,,,,,,,,,,,,
1.99,0.722,0.661,-0.75,4.896,0.294,5.189,,,,,,,,,,,,,,,,,,,
2,0.727,0.665,-0.747,4.962,0.227,5.189,,,,,,,,,,,,,,,,,,,
2.01,0.732,0.668,-0.744,5.02,0.169,5.189,,,,,,,,,,,,,,,,,,,
2.02,0.735,0.671,-0.742,5.07,0.119,5.189,,,,,,,,,,,,,,,,,,,
2.03,0.738,0.673,-0.74,5.111,0.078,5.189,,,,,,,,,,,,,,,,,,,
2.04,0.741,0.675,-0.738,5.143,0.045,5.189,,,,,,,,,,,,,,,,,,,
2.05,0.743,0.676,-0.737,5.167,0.021,5.189,,,,,,,,,,,,,,,,,,,
2.06,0.744,0.677,-0.736,5.182,0.006,5.189,,,,,,,,,,,,,,,,,,,
2.07,0.744,0.677,-0.736,5.188,0,5.189,,,,,,,,,,,,,,,,,,,
2.08,0.744,0.677,-0.736,5.186,0.003,5.189,,,,,,,,,,,,,,,,,,,
2.09,0.743,0.677,-0.736,5.174,0.014,5.189,,,,,,,,,,,,,,,,,,,
2.1,0.742,0.676,-0.737,5.154,0.034,5.189,,,,,,,,,,,,,,,,,,,
2.11,0.74,0.674,-0.739,5.125,0.063,5.188,,,,,,,,,,,,,,,,,,,
2.12,0.737,0.672,-0.741,5.088,0.101,5.188,,,,,,,,,,,,,,,,,,,
2.13,0.733,0.669,-0.743,5.042,0.147,5.188,,,,,,,,,,,,,,,,,,,
2.14,0.729,0.666,-0.746,4.987,0.201,5.188,,,,,,,,,,,,,,,,,,,
2.15,0.724,0.663,-0.749,4.924,0.263,5.188,,,,,,,,,,,,,,,,,,,
2.16,0.719,0.658,-0.753,4.854,0.334,5.188,,,,,,,,,,,,,,,,,,,
2.17,0.713,0.654,-0.757,4.775,0.412,5.187,,,,,,,,,,,,,,,,,,,
2.18,0.706,0.649,-0.761,4.689,0.498,5.187,,,,,,,,,,,,,,,,,,,
2.19,0.699,0.643,-0.766,4.596,0.59,5.186,,,,,,,,,,,,,,,,,,,
2.2,0.691,0.637,-0.771,4.495,0.69,5.186,,,,,,,,,,,,,,,,,,,
2.21,0.682,0.63,-0.776,4.388,0.797,5.185,,,,,,,,,,,,,,,,,,,
2.22,0.673,0.623,-0.782,4.275,0.909,5.184,,,,,,,,,,,,,,,,,,,
2.23,0.663,0.615,-0.788,4.155,1.028,5.183,,,,,,,,,,,,,,,,,,,
2.24,0.652,0.607,-0.795,4.03,1.152,5.182,,,,,,,,,,,,,,,,,,,
2.25,0.641,0.598,-0.801,3.9,1.281,5.181,,,,,,,,,,,,,,,,,,,
2.26,0.63,0.589,-0.808,3.764,1.415,5.179,,,,,,,,,,,,,,,,,,,
2.27,0.618,0.579,-0.815,3.625,1.553,5.178,,,,,,,,,,,,,,,,,,,
2.28,0.605,0.569,-0.823,3.481,1.695,5.176,,,,,,,,,,,,,,,,,,,
2.29,0.592,0.558,-0.83,3.335,1.84,5.174,,,,,,,,,,,,,,,,,,,
2.3,0.578,0.546,-0.838,3.185,1.988,5.173,,,,,,,,,,,,,,,,,,,
2.31,0.563,0.534,-0.845,3.033,2.138,5.17,,,,,,,,,,,,,,,,,,,
2.32,0.549,0.521,-0.853,2.879,2.29,5.168,,,,,,,,,,,,,,,,,,,
2.33,0.533,0.508,-0.861,2.723,2.443,5.166,,,,,,,,,,,,,,,,,,,
2.34,0.517,0.495,-0.869,2.567,2.596,5.163,,,,,,,,,,,,,,,,,,,
2.35,0.501,0.48,-0.877,2.411,2.75,5.161,,,,,,,,,,,,,,,,,,,
2.36,0.484,0.465,-0.885,2.255,2.903,5.158,,,,,,,,,,,,,,,,,,,
2.37,0.467,0.45,-0.893,2.1,3.055,5.155,,,,,,,,,,,,,,,,,,,
2.38,0.449,0.434,-0.901,1.946,3.206,5.152,,,,,,,,,,,,,,,,,,,
2.39,0.431,0.418,-0.909,1.795,3.354,5.148,,,,,,,,,,,,,,,,,,,
2.4,0.413,0.401,-0.916,1.646,3.499,5.145,,,,,,,,,,,,,,,,,,,
2.41,0.394,0.384,-0.924,1.501,3.641,5.141,,,,,,,,,,,,,,,,,,,
2.42,0.374,0.366,-0.931,1.359,3.779,5.138,,,,,,,,,,,,,,,,,,,
2.43,0.355,0.347,-0.938,1.222,3.912,5.134,,,,,,,,,,,,,,,,,,,
2.44,0.335,0.329,-0.944,1.09,4.04,5.13,,,,,,,,,,,,,,,,,,,
2.45,0.315,0.309,-0.951,0.963,4.163,5.126,,,,,,,,,,,,,,,,,,,
2.46,0.294,0.29,-0.957,0.842,4.28,5.122,,,,,,,,,,,,,,,,,,,
2.47,0.273,0.27,-0.963,0.728,4.39,5.117,,,,,,,,,,,,,,,,,,,
2.48,0.252,0.249,-0.968,0.62,4.492,5.113,,,,,,,,,,,,,,,,,,,
2.49,0.231,0.229,-0.973,0.52,4.588,5.108,,,,,,,,,,,,,,,,,,,
2.5,0.209,0.208,-0.978,0.428,4.675,5.104,,,,,,,,,,,,,,,,,,,
2.51,0.188,0.186,-0.982,0.344,4.755,5.099,,,,,,,,,,,,,,,,,,,
2.52,0.166,0.165,-0.986,0.269,4.825,5.094,,,,,,,,,,,,,,,,,,,
2.53,0.144,0.143,-0.99,0.202,4.887,5.089,,,,,,,,,,,,,,,,,,,
2.54,0.122,0.121,-0.993,0.145,4.94,5.084,,,,,,,,,,,,,,,,,,,
2.55,0.099,0.099,-0.995,0.097,4.983,5.079,,,,,,,,,,,,,,,,,,,
2.56,0.077,0.077,-0.997,0.058,5.017,5.074,,,,,,,,,,,,,,,,,,,
2.57,0.054,0.054,-0.999,0.029,5.04,5.069,,,,,,,,,,,,,,,,,,,
2.58,0.032,0.032,-0.999,0.01,5.054,5.064,,,,,,,,,,,,,,,,,,,
2.59,0.009,0.009,-1,0.001,5.058,5.059,,,,,,,,,,,,,,,,,,,
2.6,-0.013,-0.013,-1,0.002,5.053,5.054,,,,,,,,,,,,,,,,,,,
2.61,-0.035,-0.035,-0.999,0.012,5.037,5.049,,,,,,,,,,,,,,,,,,,
2.62,-0.058,-0.058,-0.998,0.033,5.011,5.044,,,,,,,,,,,,,,,,,,,
2.63,-0.08,-0.08,-0.997,0.063,4.976,5.039,,,,,,,,,,,,,,,,,,,
2.64,-0.102,-0.102,-0.995,0.103,4.931,5.034,,,,,,,,,,,,,,,,,,,
2.65,-0.125,-0.124,-0.992,0.152,4.877,5.029,,,,,,,,,,,,,,,,,,,
2.66,-0.147,-0.146,-0.989,0.211,4.814,5.024,,,,,,,,,,,,,,,,,,,
2.67,-0.169,-0.168,-0.986,0.278,4.742,5.02,,,,,,,,,,,,,,,,,,,
2.68,-0.19,-0.189,-0.982,0.354,4.661,5.015,,,,,,,,,,,,,,,,,,,
2.69,-0.212,-0.21,-0.978,0.438,4.572,5.01,,,,,,,,,,,,,,,,,,,
2.7,-0.233,-0.231,-0.973,0.53,4.476,5.006,,,,,,,,,,,,,,,,,,,
2.71,-0.254,-0.251,-0.968,0.629,4.372,5.001,,,,,,,,,,,,,,,,,,,
2.72,-0.275,-0.271,-0.962,0.736,4.261,4.997,,,,,,,,,,,,,,,,,,,
2.73,-0.295,-0.291,-0.957,0.849,4.144,4.993,,,,,,,,,,,,,,,,,,,
2.74,-0.315,-0.31,-0.951,0.968,4.021,4.989,,,,,,,,,,,,,,,,,,,
2.75,-0.335,-0.329,-0.944,1.093,3.892,4.985,,,,,,,,,,,,,,,,,,,
2.76,-0.355,-0.348,-0.938,1.223,3.758,4.981,,,,,,,,,,,,,,,,,,,
2.77,-0.374,-0.365,-0.931,1.357,3.62,4.977,,,,,,,,,,,,,,,,,,,
2.78,-0.393,-0.383,-0.924,1.496,3.478,4.974,,,,,,,,,,,,,,,,,,,
2.79,-0.411,-0.4,-0.917,1.637,3.333,4.97,,,,,,,,,,,,,,,,,,,
2.8,-0.429,-0.416,-0.909,1.782,3.185,4.967,,,,,,,,,,,,,,,,,,,
2.81,-0.447,-0.432,-0.902,1.929,3.035,4.964,,,,,,,,,,,,,,,,,,,
2.82,-0.464,-0.448,-0.894,2.077,2.884,4.961,,,,,,,,,,,,,,,,,,,
2.83,-0.481,-0.463,-0.886,2.227,2.731,4.958,,,,,,,,,,,,,,,,,,,
2.84,-0.497,-0.477,-0.879,2.377,2.578,4.956,,,,,,,,,,,,,,,,,,,
2.85,-0.513,-0.491,-0.871,2.527,2.426,4.953,,,,,,,,,,,,,,,,,,,
2.86,-0.529,-0.504,-0.864,2.677,2.274,4.951,,,,,,,,,,,,,,,,,,,
2.87,-0.543,-0.517,-0.856,2.826,2.123,4.949,,,,,,,,,,,,,,,,,,,
2.88,-0.558,-0.529,-0.849,2.972,1.974,4.947,,,,,,,,,,,,,,,,,,,
2.89,-0.571,-0.541,-0.841,3.117,1.827,4.945,,,,,,,,,,,,,,,,,,,
2.9,-0.585,-0.552,-0.834,3.259,1.684,4.943,,,,,,,,,,,,,,,,,,,
2.91,-0.597,-0.562,-0.827,3.398,1.543,4.941,,,,,,,,,,,,,,,,,,,
2.92,-0.61,-0.572,-0.82,3.533,1.407,4.94,,,,,,,,,,,,,,,,,,,
2.93,-0.621,-0.582,-0.813,3.664,1.274,4.938,,,,,,,,,,,,,,,,,,,
2.94,-0.632,-0.591,-0.807,3.791,1.146,4.937,,,,,,,,,,,,,,,,,,,
2.95,-0.643,-0.599,-0.801,3.912,1.024,4.936,,,,,,,,,,,,,,,,,,,
2.96,-0.652,-0.607,-0.795,4.029,0.907,4.935,,,,,,,,,,,,,,,,,,,
2.97,-0.662,-0.614,-0.789,4.139,0.795,4.934,,,,,,,,,,,,,,,,,,,
2.98,-0.67,-0.621,-0.784,4.243,0.69,4.934,,,,,,,,,,,,,,,,,,,
2.99,-0.678,-0.627,-0.779,4.341,0.592,4.933,,,,,,,,,,,,,,,,,,,
3,-0.686,-0.633,-0.774,4.433,0.5,4.932,,,,,,,,,,,,,,,,,,,
3.01,-0.692,-0.638,-0.77,4.517,0.415,4.932,,,,,,,,,,,,,,,,,,,
3.02,-0.698,-0.643,-0.766,4.594,0.338,4.932,,,,,,,,,,,,,,,,,,,
3.03,-0.704,-0.647,-0.762,4.663,0.268,4.931,,,,,,,,,,,,,,,,,,,
3.04,-0.709,-0.651,-0.759,4.725,0.206,4.931,,,,,,,,,,,,,,,,,,,
3.05,-0.713,-0.654,-0.756,4.779,0.152,4.931,,,,,,,,,,,,,,,,,,,
3.06,-0.717,-0.657,-0.754,4.825,0.106,4.931,,,,,,,,,,,,,,,,,,,
3.07,-0.719,-0.659,-0.752,4.863,0.068,4.931,,,,,,,,,,,,,,,,,,,
3.08,-0.722,-0.661,-0.751,4.892,0.038,4.931,,,,,,,,,,,,,,,,,,,
3.09,-0.723,-0.662,-0.75,4.914,0.017,4.931,,,,,,,,,,,,,,,,,,,
3.1,-0.724,-0.663,-0.749,4.926,0.004,4.931,,,,,,,,,,,,,,,,,,,
3.11,-0.725,-0.663,-0.749,4.931,0,4.931,,,,,,,,,,,,,,,,,,,
3.12,-0.724,-0.663,-0.749,4.926,0.004,4.931,,,,,,,,,,,,,,,,,,,
3.13,-0.723,-0.662,-0.75,4.914,0.017,4.931,,,,,,,,,,,,,,,,,,,
3.14,-0.722,-0.661,-0.751,4.893,0.038,4.93,,,,,,,,,,,,,,,,,,,
3.15,-0.72,-0.659,-0.752,4.863,0.067,4.93,,,,,,,,,,,,,,,,,,,
3.16,-0.717,-0.657,-0.754,4.826,0.105,4.93,,,,,,,,,,,,,,,,,,,
3.17,-0.713,-0.654,-0.756,4.78,0.15,4.93,,,,,,,,,,,,,,,,,,,
3.18,-0.709,-0.651,-0.759,4.726,0.204,4.93,,,,,,,,,,,,,,,,,,,
3.19,-0.704,-0.647,-0.762,4.665,0.265,4.93,,,,,,,,,,,,,,,,,,,
3.2,-0.699,-0.643,-0.766,4.596,0.334,4.93,,,,,,,,,,,,,,,,,,,
3.21,-0.692,-0.638,-0.77,4.519,0.41,4.929,,,,,,,,,,,,,,,,,,,
3.22,-0.686,-0.633,-0.774,4.435,0.493,4.929,,,,,,,,,,,,,,,,,,,
